nuc_rRNA,nuc_RP,nuc_pol,nuc_AARS,nuc_tRNA,minV_R,minV_H,minV_G,Ntotal_R,Ntotal_H,Ntotal_D,ribo_R,pol_R,ribo_H,pol1_H,pol2_H,ribo_D,pol1_D,pol2_D
4237,7292,1569,0,0,4.17396523408281,4.69943636818153,6.95872624277255,36,53,62,5,6,5,6,7,5,11,11
4023,8151,1751,0,0,4.44806226734939,5.03251372479937,1.48966513341402,36,52,12,5,6,5,6,6,1,2,2
4086,6118,1618,0,0,3.76240901706483,4.3048459843271,6.38002987271678,36,54,61,5,6,5,7,7,5,10,11
4213,8157,1586,0,0,4.45359583797477,4.98378716371819,7.37529765105231,36,52,62,5,6,5,6,6,5,11,11
4250,8314,1662,0,0,4.54088858684281,5.09630620032156,7.54212442013849,36,52,61,5,6,5,6,6,5,10,11
4059,6636,1738,0,0,3.96198918626753,4.54368159087095,1.34643052240183,36,52,12,5,6,5,6,6,1,2,2
4338,8372,1576,0,0,4.55820593840539,5.08521190839615,7.52487954720946,36,52,62,5,6,5,6,6,5,11,11
4329,6074,1528,0,0,3.79234502978027,4.30567600415651,6.38183908354847,36,54,62,5,6,5,7,7,5,11,11
4301,6921,1733,0,0,4.12656517345631,4.70700612964125,6.97374141600669,36,53,61,5,6,5,6,7,5,10,11
4368,6283,1757,0,0,3.94729997392153,4.5365728379623,6.72502958256449,36,54,61,5,6,5,7,7,5,10,11
4003,7995,1626,0,0,4.3502747938806,4.89339642251083,7.24165547603972,36,52,61,5,6,5,6,6,5,10,11
4235,7289,1555,0,0,4.1677712664125,4.68855586074714,6.94247543977773,36,53,62,5,6,5,6,7,5,11,11
4237,6323,1585,0,0,3.86405690125265,4.3958169086926,6.5141791057294,36,54,62,5,6,5,7,7,5,11,11
4033,8317,1680,0,0,4.48182957985442,5.04266458489853,1.49235709144115,36,52,12,5,6,5,6,6,1,2,2
4112,6837,1709,0,0,4.03393244288773,4.60594290986014,1.36466927544651,36,53,12,5,6,5,6,7,1,2,2
4318,8561,1675,0,0,4.64609640813688,5.2057820241521,7.70342153243059,36,52,61,5,6,5,6,6,5,10,11
